Variable_name	Value
lc_time_names	en_US
license	GPL
local_infile	ON
locked_in_memory	OFF
log	OFF
log_bin	ON
log_bin_trust_function_creators	OFF
log_bin_trust_routine_creators	OFF
log_error	/mnt/data-store/mysql/mysql.err
log_output	FILE
log_queries_not_using_indexes	ON
log_slave_updates	ON
log_slow_queries	ON
log_warnings	1
long_query_time	0.500000
low_priority_updates	OFF
lower_case_file_system	OFF
lower_case_table_names	0
max_allowed_packet	104857600
max_binlog_cache_size	18446744073709547520
max_binlog_size	524288000
max_connect_errors	10
max_connections	1500
max_delayed_threads	20
max_error_count	64
max_heap_table_size	822083584
max_insert_delayed_threads	20
max_join_size	18446744073709551615
max_length_for_sort_data	1024
max_prepared_stmt_count	16382
max_relay_log_size	0
max_seeks_for_key	18446744073709551615
max_sort_length	1024
max_sp_recursion_depth	0
max_tmp_tables	32
max_user_connections	0
max_write_lock_count	18446744073709551615
min_examined_row_limit	10000
multi_range_count	256
myisam_data_pointer_size	6
myisam_max_sort_file_size	9223372036853727232
myisam_mmap_size	18446744073709551615
myisam_recover_options	OFF
myisam_repair_threads	1
myisam_sort_buffer_size	67108864
myisam_stats_method	nulls_unequal
myisam_use_mmap	OFF
net_buffer_length	16384
net_read_timeout	30
net_retry_count	10
net_write_timeout	120
new	OFF
old	OFF
old_alter_table	OFF
old_passwords	OFF
open_files_limit	7500
optimizer_prune_level	1
optimizer_search_depth	62
optimizer_switch	index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on
pid_file	/mnt/data-store/mysql/data/mysql.pid
plugin_dir	/usr/lib/mysql/plugin
port	3306
preload_buffer_size	32768
profiling	OFF
profiling_history_size	15
protocol_version	10
pseudo_thread_id	0
query_alloc_block_size	8192
query_cache_limit	1048576
query_cache_min_res_unit	4096
query_cache_size	0
query_cache_type	OFF
query_cache_wlock_invalidate	OFF
query_prealloc_size	8192
rand_seed1	
rand_seed2	
range_alloc_block_size	4096
read_buffer_size	16777216
read_only	OFF
read_rnd_buffer_size	16777216
relay_log	/mnt/data-store/mysql/logs/mysql-relay
relay_log_index	
relay_log_info_file	relay-log.info
relay_log_purge	ON
relay_log_space_limit	0
report_host	
report_password	
report_port	3306
report_user	
rpl_recovery_rank	0
secure_auth	OFF
secure_file_priv	
server_id	2171234
skip_external_locking	ON
skip_networking	OFF
skip_show_database	OFF
slave_compressed_protocol	OFF
slave_exec_mode	IDEMPOTENT
slave_load_tmpdir	/mnt/tmp
slave_net_timeout	3600
slave_skip_errors	OFF
slave_transaction_retries	10
slow_launch_time	2
slow_query_log	ON
slow_query_log_file	/mnt/data-store/mysql/logs/slowquery.log
socket	/tmp/mysql.sock
sort_buffer_size	8388608
sql_auto_is_null	ON
sql_big_selects	ON
sql_big_tables	OFF
sql_buffer_result	OFF
sql_log_bin	ON
sql_log_off	OFF
sql_log_update	ON
sql_low_priority_updates	OFF
sql_max_join_size	18446744073709551615
sql_mode	
sql_notes	ON
sql_quote_show_create	ON
sql_safe_updates	OFF
sql_select_limit	18446744073709551615
sql_slave_skip_counter	
sql_warnings	OFF
ssl_ca	
ssl_capath	
ssl_cert	
ssl_cipher	
ssl_key	
storage_engine	MyISAM
sync_binlog	0
sync_frm	ON
system_time_zone	EST
table_definition_cache	256
table_lock_wait_timeout	50
table_open_cache	2000
table_type	MyISAM
thread_cache_size	8
thread_handling	one-thread-per-connection
thread_stack	262144
time_format	%H:%i:%s
time_zone	SYSTEM
timed_mutexes	OFF
timestamp	1300546448
tmp_table_size	822083584
tmpdir	/mnt/tmp
transaction_alloc_block_size	8192
transaction_prealloc_size	4096
tx_isolation	REPEATABLE-READ
unique_checks	ON
updatable_views_with_limit	YES
version	5.1.43-60.hardy.7-log
version_comment	(Percona SQL Server (GPL), XtraDB , Revision )
version_compile_machine	x86_64
version_compile_os	debian-linux-gnu
wait_timeout	28800
warning_count	0

